번호,년도,카카오 함유량,평점
1,2016,0.63,3.75
2,2015,0.7,2.75
3,2015,0.7,3.0
4,2015,0.7,3.5
5,2015,0.7,3.5
6,2014,0.7,2.75
7,2014,0.7,3.5
8,2014,0.7,3.5
